Whs,Group,Vendor,ItemNo,UPC,Brand,Desc,Size,Pk,Units Cur,Cases Cur,Wt Cur
NW,AMAZON FRESH,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,492.00,41.00,153.75
NW,AMAZON FRESH,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,"1,032.00",86.00,387.00
NW,AMAZON FRESH,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,732.00,61.00,231.80
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,35240,0-72210-84003,BEECHERS,FLAGSHIP AGED,5 LB,2,17.00,8.50,85.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,2.00,1.00,10.60
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,12.00,12.00,72.05
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,69627,7-82045-11200,BEECHERS,CRACKER ARTISAN,5 OZ,12,60.00,5.00,18.75
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,69631,7-82045-11207,BEECHERS,CURD HANDMADE FRESH PLAIN,6 OZ,12,12.00,1.00,4.50
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,69633,7-82045-11209,BEECHERS,CURD HANDMADE FRESH MARKET HERB,6 OZ,12,36.00,3.00,13.50
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,90932,7-82045-11287,BEECHERS,CRACKER CHEESE FLAGSHIP,5 OZ,12,36.00,3.00,11.40
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,114166,7-82045-11293,BEECHERS,RICE BROWN & KALE,20 OZ,9,9.00,1.00,11.25
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,119387,0-72210-81737,BEECHERS,JUST JACK CHEESE PC,6 LB,1,5.00,5.00,30.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,119388,0-72210-81740,BEECHERS,FLAGSHIP AGED PC,8 LB,1,37.00,37.00,298.52
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,119453,0-72210-86040,BEECHERS,FLAGSHIP SMOKED PC,8 LB,1,5.00,5.00,39.50
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,215242,7-82045-11201,BEECHERS,MACARONI AND CHEESE WORLDS BEST NAT,20 OZ,8,88.00,11.00,110.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,220564,0-72210-42794,BEECHERS,DULCET DUTCH HOLLOW P/C NAT,8 LB,1,2.00,2.00,16.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,221621,7-82045-11352,BEECHERS,MAC AND CHEESE RST POBLANOS CHICKEN,20 OZ,8,8.00,1.00,10.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,225142,7-82045-11274,BEECHERS,MACARONI AND MARIACHI CHEESE  NAT,20 OZ,8,8.00,1.00,10.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,235851,7-82045-11339,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT,40 LB,1,1.00,1.00,41.62
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,237371,7-82045-11382,BEECHERS,VERDE ENCHILADA BOWL GF NAT,9 OZ,8,16.00,2.00,9.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,238258,0-72210-43214,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT,10 LB,1,1.00,1.00,10.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,238521,0-72210-43220,BEECHERS,FLAGSHIP FOUR YEAR AGED NAT PC,8 LB,1,3.00,3.00,24.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,247205,0-72210-43312,BEECHERS,NEW WOMAN JAMAICAN PEPPER,5 LB,2,11.00,5.50,55.00
NW,ASSOCIATED FOOD STORES,BEECHERS HANDMADE CHEESE LLC,247207,0-72210-43314,BEECHERS,NEW WOMAN JAMAICAN PEPPER PC,6 LB,1,11.00,11.00,66.00
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,32998,0-72210-79645,BEECHERS,JUST JACK CHEESE,5 LB,2,31.00,15.50,158.10
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,34454,0-72210-82889,BEECHERS,SAUCE CHEESE FLAGSHIP,5 LB,2,734.00,367.00,"3,670.00"
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,34985,0-72210-83608,BEECHERS,FLAGSHIP RESERVE,16 LB,1,1.00,1.00,17.33
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,35240,0-72210-84003,BEECHERS,FLAGSHIP AGED,5 LB,2,158.00,79.03,790.30
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,36099,0-72210-85069,BEECHERS,MARCO POLO,5 LB,2,25.00,12.50,132.50
NW,FOODSERVICE,BEECHERS HANDMADE CHEESE LLC,36139,0-72210-85113,BEECHERS,MARCO POLO CHEESE PC,6 LB,1,3.00,3.00,18.01
